coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
positive,yes,kokombil,0,#Coachella2015 tickets selling out in less than 40 minutes 🎶🎼🎤😝🌵🌵🎼🎶 http://t.co/SmoXyteIMJ,"[0.0, 0.0]",2015-01-07 15:02:04 -0800,552963408120000512,,Quito
positive,yes,MisssTaraaa10,2,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE 🔥🔥🔥 #Coachella2015 http://t.co/Ov2eCJtAvR,,2015-01-07 15:02:01 -0800,552963393405992960,united states,
positive,yes,NMcCracken805,0,#Coachella2015 #VIP passes secured! See you there bitchesssss,,2015-01-07 15:01:44 -0800,552963323591794688,"Costa Mesa, CA",
positive,yes,wxpnfm,1,Philly’s @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,,2015-01-07 15:01:01 -0800,552963143702306816,"Philadelphia, PA and Worldwide",Quito
positive,yes,Caesears,0,If briana and her mom out to #Coachella2015  im out with them !!! 😛😛😛💃,,2015-01-07 15:00:48 -0800,552963089985843200,,
positive,yes,donbosco_6,0,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU",,2015-01-07 14:58:55 -0800,552962616273170432,Cuenca Ecuador,Eastern Time (US & Canada)
positive,yes,__Mia630_,0,Coachella tickets are now sold out 😭 &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,,2015-01-07 14:58:45 -0800,552962570596790272,CA. USA,Pacific Time (US & Canada)
positive,yes,OlgaKhmylev,0,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,,2015-01-07 14:57:23 -0800,552962228618809344,Buffalo//Moscow//Boston ,Eastern Time (US & Canada)
positive,yes,Ben_BigB_Davies,0,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,,2015-01-07 14:54:41 -0800,552961549527437312,The mighty bridgend !,
positive,yes,brevamo,83,RT @brownjenjen: → http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 Oh…,,2015-01-07 14:50:40 -0800,552960538351632384,Utah,Pacific Time (US & Canada)
